Student_ID,Gender,Attendance_Rate,Study_Hours_per_Week,Physics,Maths,Biology,Chemistry,Past_Exam_Scores,Final_Exam_Score,Pass_Fail
S326,Female,77.86526844,12,75,79,86,95,77,69,Pass
S298,Male,80.39471969,23,33,87,96,86,60,66,Pass
S253,Female,72.85001096,19,88,85,62,81,79,78,Pass
S223,Female,76.9890531,28,90,86,85,75,81,76,Pass
S189,Male,54.39340556,25,96,50,82,58,52,54,Pass
S124,Male,54.46021644,24,95,78,41,86,96,85,Pass
S223,Female,76.9890531,28,71,79,75,45,81,74,Pass
S024,Female,93.91103337,26,60,74,41,97,94,70,Pass
S066,Female,78.98249672,38,49,56,61,70,96,70,Pass
S457,Female,58.10069389,37,58,79,77,49,90,71,Pass
S487,Male,86.20516646,33,45,96,66,62,68,64,Pass
S066,Female,78.98249672,38,84,88,42,71,96,89,Pass
S130,Female,82.44114201,17,78,98,58,39,98,74,Pass
S330,Female,64.97979559,20,93,50,46,59,65,61,Pass
S119,Female,55.24345833,30,31,60,69,98,98,81,Pass
S381,Female,86.79523066,12,94,49,78,44,71,61,Pass
S101,Male,79.86390411,37,49,41,53,95,73,64,Pass
S394,Female,67.25960724,10,56,54,32,37,96,60,Pass
S016,Male,86.3060422,24,83,31,42,43,91,64,Pass
S023,Female,60.36138245,35,92,83,51,41,93,85,Pass
S091,Female,66.07913823,29,80,97,75,44,98,90,Pass
S032,Male,65.38886199,38,77,32,88,74,93,75,Pass
S043,Female,95.15755293,16,33,64,66,60,65,61,Pass
S277,Male,79.64814526,39,46,83,77,90,50,59,Pass
S268,Female,61.36754915,14,80,77,80,79,85,77,Pass
S021,Female,62.57212198,19,31,39,99,74,73,64,Pass
S197,Female,92.536373,29,73,98,31,66,55,56,Pass
S291,Male,61.79530173,38,45,47,40,42,60,56,Pass
S263,Male,85.80895374,26,73,57,76,89,78,81,Pass
S368,Female,77.83607924,15,98,91,52,83,95,77,Pass
S342,Female,85.70295999,23,89,95,39,85,98,92,Pass
S324,Female,98.77706578,35,89,99,96,89,66,77,Pass
S328,Male,76.75348595,38,53,81,47,55,70,62,Pass
S120,Male,86.8702603,10,82,87,50,88,52,49,Fail
S333,Female,71.33944527,21,88,46,72,83,55,52,Pass
S077,Female,75.76180274,20,54,90,60,74,94,86,Pass
S016,Male,86.3060422,24,89,43,44,83,91,70,Pass
S092,Female,54.61452931,39,82,33,87,78,73,61,Pass
S339,Female,91.82824066,38,47,84,59,64,64,62,Pass
S084,Female,51.59023407,21,36,36,66,48,74,62,Pass
S258,Female,70.44775885,26,41,89,68,74,83,74,Pass
S477,Male,90.37151259,12,84,88,54,42,63,56,Pass
S229,Male,53.33095562,17,56,62,56,31,85,72,Pass
S237,Female,93.93145577,18,87,35,45,93,81,65,Pass
S047,Female,81.83221608,29,67,34,52,35,51,50,Pass
S416,Male,84.56109288,31,99,58,82,51,71,69,Pass
S428,Female,63.18419013,18,33,63,69,36,90,63,Pass
S252,Male,68.94107828,13,51,85,58,85,68,60,Pass
S222,Male,81.20507721,38,49,44,70,51,59,61,Pass
S302,Male,89.38949444,24,80,55,50,52,95,84,Pass
S390,Male,91.25536657,17,49,39,95,74,67,62,Pass
S042,Male,90.25223338,35,49,53,96,96,82,80,Pass
S332,Male,69.86590577,24,99,87,88,71,69,65,Pass
S235,Female,84.68588037,11,65,59,75,43,88,70,Pass
S387,Male,95.53120018,35,94,38,98,85,66,64,Pass
S345,Male,74.05439742,19,74,66,89,72,61,53,Pass
S190,Female,56.94123867,33,65,83,82,71,89,68,Pass
S160,Female,95.86978065,21,93,82,57,54,58,71,Pass
S349,Female,66.71814057,35,77,89,44,37,65,51,Pass
S409,Female,84.94229266,21,54,62,36,60,90,72,Pass
S341,Male,64.70223396,16,77,88,34,37,84,76,Pass
S156,Female,84.84807312,23,78,45,74,70,74,77,Pass
S241,Female,99.8846308,30,57,63,49,52,98,69,Pass
S011,Male,84.58571986,12,74,49,36,87,80,61,Pass
S313,Female,95.63747314,30,50,75,56,47,78,76,Pass
S126,Female,61.66082058,39,40,71,30,55,98,68,Pass
S328,Male,76.75348595,38,64,44,43,38,70,63,Pass
S368,Female,77.83607924,15,81,81,81,96,95,72,Pass
S339,Female,91.82824066,38,88,33,71,77,64,74,Pass
S221,Male,94.98337226,11,60,36,37,79,91,71,Pass
S192,Male,55.83480321,32,31,89,94,72,89,69,Pass
S496,Male,79.41318785,31,95,72,86,95,67,73,Pass
S370,Male,90.26574837,28,97,42,56,99,74,70,Pass
S017,Female,87.8540601,31,45,50,65,31,88,79,Pass
S101,Male,79.86390411,37,73,60,72,97,73,74,Pass
S175,Female,76.49200116,31,62,77,98,56,55,51,Pass
S017,Female,87.8540601,31,88,94,52,58,88,72,Pass
S459,Male,92.32039247,37,35,79,61,86,61,68,Pass
S232,Female,71.57640716,19,47,90,84,35,62,68,Pass
S458,Female,92.07648302,27,32,68,84,41,99,70,Pass
S138,Male,66.87234169,31,58,45,33,46,81,54,Pass
S254,Male,80.1978936,14,71,72,46,33,56,57,Pass
S469,Male,72.98407564,30,56,31,41,94,65,62,Pass
S329,Female,59.22314357,20,52,61,40,53,96,70,Pass
S027,Female,63.4336241,18,60,59,92,78,86,75,Pass
S360,Male,77.58612976,31,49,50,55,77,99,71,Pass
S432,Female,81.65490317,10,98,78,96,75,62,58,Pass
S038,Male,74.00229835,34,56,65,92,81,71,67,Pass
S154,Male,52.58177389,26,84,47,47,70,58,47,Fail
S484,Female,87.9196207,34,78,95,68,53,74,80,Pass
S146,Male,61.26663989,14,58,54,63,72,63,50,Pass
S294,Female,91.87453945,21,42,68,62,81,96,82,Pass
S283,Female,88.56233343,34,86,35,65,46,96,68,Pass
S488,Female,81.86157899,39,95,99,43,85,95,82,Pass
S434,Female,78.66471891,31,39,64,72,65,71,64,Pass
S039,Male,71.02678893,33,43,79,56,41,74,55,Pass
S023,Female,60.36138245,35,67,41,68,42,93,69,Pass
S498,Female,77.79032907,27,95,82,48,86,67,66,Pass
S234,Female,86.52745684,39,63,72,41,70,61,53,Pass
S369,Male,86.04065482,37,71,38,78,46,64,62,Pass
S340,Female,79.37268021,15,30,45,76,61,83,62,Pass
S073,Male,59.00336362,19,32,96,48,38,50,46,Fail
S353,Male,94.87152049,14,92,51,66,87,74,72,Pass
S031,Male,91.5685745,16,84,66,80,41,72,60,Pass
S125,Male,76.7667782,11,32,70,50,76,72,58,Pass
S410,Female,70.12750218,22,83,67,58,63,66,66,Pass
S402,Female,78.288831,34,33,81,55,92,87,69,Pass
S053,Male,95.52356392,21,77,92,91,96,62,65,Pass
S351,Female,87.66231104,14,79,92,51,95,57,65,Pass
S391,Male,68.15296061,38,73,44,73,86,79,67,Pass
S257,Male,74.3178741,12,54,43,89,30,81,73,Pass
S235,Female,84.68588037,11,90,54,32,98,88,72,Pass
S181,Male,66.03210961,35,85,78,66,69,62,60,Pass
S445,Female,91.85394954,15,89,80,72,36,93,74,Pass
S165,Female,91.04307366,30,45,49,71,74,60,56,Pass
S461,Female,57.73360704,14,52,34,76,46,57,47,Fail
S354,Female,76.32892333,15,78,81,60,64,66,70,Pass
S446,Male,71.85966982,21,31,40,85,93,98,70,Pass
S324,Female,98.77706578,35,49,32,60,51,66,52,Pass
S342,Female,85.70295999,23,82,48,61,79,98,77,Pass
S447,Male,95.77568386,33,60,52,87,75,89,73,Pass
S455,Male,63.49556112,17,34,68,95,58,80,75,Pass
S278,Female,55.11063321,26,82,99,43,89,71,71,Pass
S094,Female,84.38923585,12,35,54,63,64,61,50,Pass
S409,Female,84.94229266,21,82,76,86,69,90,84,Pass
S226,Female,67.76812259,32,78,30,30,92,88,76,Pass
S069,Female,73.00595795,35,97,35,34,35,74,63,Pass
S450,Female,97.46533985,17,54,35,52,93,55,65,Pass
S092,Female,54.61452931,39,39,75,82,45,73,69,Pass
S026,Female,52.34482339,10,31,36,36,83,52,55,Pass
S224,Female,71.93723377,27,96,91,58,81,92,84,Pass
S356,Male,98.94657178,17,69,97,39,64,57,51,Pass
S097,Female,68.86429826,29,46,72,88,74,92,84,Pass
S321,Female,61.0048607,35,77,37,47,95,60,56,Pass
S188,Male,84.22857739,13,32,56,49,31,100,62,Pass
S083,Male,67.38096072,37,87,95,52,43,86,65,Pass
S240,Female,78.65754246,35,67,58,84,50,76,70,Pass
S365,Male,66.96356229,22,82,49,65,64,73,73,Pass
S095,Female,75.58285068,32,71,87,51,80,86,84,Pass
S408,Female,87.08434721,35,82,83,82,50,73,75,Pass
S289,Male,95.53430991,13,63,56,87,72,56,53,Pass
S115,Male,51.52360764,39,84,78,83,95,92,81,Pass
S325,Female,72.9494494,14,71,83,92,82,93,73,Pass
S327,Male,93.03160089,32,53,60,32,50,78,66,Pass
S172,Male,85.54762394,32,46,90,85,71,97,81,Pass
S441,Male,59.21854603,21,98,87,61,58,99,74,Pass
S198,Female,87.29872628,33,75,73,46,46,73,76,Pass
S034,Female,98.39868827,32,56,74,96,38,64,69,Pass
S032,Male,65.38886199,38,55,56,91,53,93,73,Pass
S103,Female,76.8295323,39,53,60,91,42,62,69,Pass
S042,Male,90.25223338,35,41,31,96,74,82,69,Pass
S282,Female,82.56836055,25,71,46,72,50,63,52,Pass
S116,Female,93.36074905,32,56,56,33,34,83,66,Pass
S436,Female,70.21907508,12,48,98,43,59,51,57,Pass
S460,Male,97.76181564,37,58,92,88,33,57,68,Pass
S338,Male,68.88629737,26,47,41,80,80,87,76,Pass
S244,Male,88.92859695,20,41,83,81,43,89,67,Pass
S048,Male,77.74078043,10,43,43,57,53,84,61,Pass
S006,Female,53.17559148,27,90,88,48,43,57,49,Fail
S052,Female,72.54552237,23,53,64,94,81,62,60,Pass
S095,Female,75.58285068,32,49,52,37,94,86,79,Pass
S470,Female,53.79667052,29,55,82,98,79,53,62,Pass
S147,Male,68.26784098,31,63,40,96,40,86,75,Pass
S355,Female,90.03748857,28,67,39,30,94,78,66,Pass
S316,Female,58.27566587,34,84,90,39,57,51,51,Pass
S191,Male,50.13554497,25,91,86,86,34,83,79,Pass
S347,Male,88.26781405,27,76,58,93,92,64,74,Pass
S104,Female,96.20208796,28,35,72,98,68,83,84,Pass
S127,Female,67.14634321,31,62,53,58,94,58,58,Pass
S151,Male,90.29324434,37,91,37,74,91,52,67,Pass
S157,Male,99.86277674,39,44,68,60,63,83,64,Pass
S044,Female,80.8631856,34,66,72,76,85,94,85,Pass
S157,Male,99.86277674,39,41,57,94,91,83,69,Pass
S285,Female,53.44607697,22,71,95,30,94,61,66,Pass
S300,Female,87.21248259,28,36,64,78,56,75,74,Pass
S391,Male,68.15296061,38,46,72,54,52,79,68,Pass
S092,Female,54.61452931,39,33,34,34,76,73,67,Pass
S310,Female,95.92273625,36,48,82,88,56,88,84,Pass
S270,Male,64.39648082,26,85,81,31,98,53,55,Pass
S219,Female,72.59743006,21,77,42,52,35,80,55,Pass
S391,Male,68.15296061,38,83,37,67,57,79,73,Pass
S139,Male,94.98236986,38,32,35,48,94,84,61,Pass
S173,Male,59.97534637,35,53,72,74,40,75,71,Pass
S465,Female,67.57700806,31,40,95,44,95,96,81,Pass
S222,Male,81.20507721,38,37,91,52,60,59,62,Pass
S489,Male,99.02884001,27,48,51,34,49,85,61,Pass
S145,Female,50.37671816,28,81,73,97,68,53,67,Pass
S249,Male,87.73176459,30,64,57,96,91,84,77,Pass
S304,Female,55.713365,30,63,64,74,88,78,68,Pass
S371,Female,99.4364391,38,56,83,67,80,79,77,Pass
S140,Male,80.37776111,32,38,32,48,33,87,72,Pass
S423,Female,70.2624044,28,40,53,86,98,99,89,Pass
S001,Male,68.8369485,38,78,45,55,48,64,61,Pass
S412,Female,82.25270839,38,87,92,38,45,95,76,Pass
S056,Female,84.88209357,24,65,65,73,43,81,67,Pass
S030,Female,73.81053484,25,80,59,52,76,75,74,Pass
S397,Female,93.053401,37,36,83,83,69,81,66,Pass
S113,Female,92.22203363,35,38,44,66,94,95,84,Pass
S150,Female,54.39438123,23,48,80,91,44,90,67,Pass
S162,Male,98.75335815,35,38,65,59,30,89,72,Pass
S218,Male,84.14910317,22,82,73,97,57,100,91,Pass
S111,Female,56.65584643,35,87,67,65,41,100,85,Pass
S248,Male,74.69907436,34,97,81,47,45,94,70,Pass
S067,Female,67.07816052,31,81,71,37,54,59,57,Pass
S218,Male,84.14910317,22,33,87,99,76,100,77,Pass
S481,Female,76.06503337,28,48,52,97,68,72,59,Pass
S239,Male,87.07304556,13,78,43,60,33,95,72,Pass
S238,Female,74.77118132,16,99,87,72,67,62,60,Pass
S096,Female,57.84888414,17,96,54,72,55,86,74,Pass
S419,Female,76.48308393,37,65,39,43,34,82,62,Pass
S474,Female,50.26269093,38,70,91,41,74,52,64,Pass
S446,Male,71.85966982,21,44,88,34,39,98,76,Pass
S495,Male,52.20827189,10,92,47,61,60,93,79,Pass
S446,Male,71.85966982,21,42,88,86,73,98,80,Pass
S106,Female,87.99777045,33,61,79,81,39,56,58,Pass
S319,Male,89.02478538,30,47,86,70,34,69,72,Pass
S486,Female,87.95179228,19,88,82,36,90,100,91,Pass
S119,Female,55.24345833,30,47,99,30,75,98,69,Pass
S088,Male,94.71086314,13,32,50,79,82,64,61,Pass
S286,Male,53.86605327,36,75,76,80,80,85,76,Pass
S091,Female,66.07913823,29,31,44,41,96,98,76,Pass
S446,Male,71.85966982,21,57,45,84,74,98,76,Pass
S158,Female,94.83051315,29,32,56,72,35,61,52,Pass
S017,Female,87.8540601,31,30,39,33,84,88,69,Pass
S024,Female,93.91103337,26,56,40,56,47,94,81,Pass
S466,Male,70.63967753,26,59,63,99,87,56,62,Pass
S444,Female,53.41248527,17,83,94,38,79,91,74,Pass
S376,Female,57.05409244,19,93,86,34,92,69,59,Pass
S415,Male,95.02861506,25,95,81,99,79,65,72,Pass
S247,Male,85.70320411,13,38,43,43,77,73,61,Pass
S188,Male,84.22857739,13,73,72,32,30,100,82,Pass
S392,Male,51.71140554,18,81,39,79,35,67,59,Pass
S486,Female,87.95179228,19,54,63,89,48,100,88,Pass
S283,Female,88.56233343,34,65,49,75,81,96,84,Pass
S447,Male,95.77568386,33,70,64,53,55,89,80,Pass
S169,Male,91.92912794,39,30,94,57,48,87,69,Pass
S398,Female,60.97552625,39,63,53,91,32,60,64,Pass
S065,Male,60.45653955,39,38,96,47,36,93,70,Pass
S140,Male,80.37776111,32,53,65,85,32,87,81,Pass
S255,Male,75.11441737,18,66,45,77,85,59,52,Pass
S293,Male,59.31604397,28,95,70,34,76,55,62,Pass
S202,Female,60.2500905,37,77,92,58,32,77,73,Pass
S491,Female,82.33324596,22,31,39,61,74,57,51,Pass
S236,Female,58.336538,28,48,80,37,79,51,49,Fail
S364,Female,79.75244899,34,84,67,56,35,93,78,Pass
S207,Female,89.07572409,20,65,96,68,91,92,89,Pass
S437,Female,88.54556885,25,84,89,71,96,87,78,Pass
S063,Male,81.04028422,34,49,83,92,36,93,82,Pass
S290,Female,56.14053909,21,66,84,76,76,78,60,Pass
S464,Male,67.2191866,36,79,90,98,83,69,66,Pass
S201,Male,99.54647382,12,48,72,46,43,89,63,Pass
S375,Male,97.22048628,36,74,94,97,79,93,89,Pass
S133,Male,86.84112377,10,33,38,40,86,99,65,Pass
S036,Male,89.59089197,12,79,51,82,70,53,59,Pass
S397,Female,93.053401,37,90,72,39,72,81,73,Pass
S445,Female,91.85394954,15,81,83,85,71,93,73,Pass
S160,Female,95.86978065,21,95,62,78,87,58,68,Pass
S346,Male,74.85059744,18,99,88,66,34,67,62,Pass
S162,Male,98.75335815,35,75,87,75,73,89,82,Pass
S122,Male,78.1982546,35,42,83,98,54,54,62,Pass
S069,Female,73.00595795,35,60,38,31,53,74,68,Pass
S308,Female,73.28500612,34,77,40,79,48,62,66,Pass
S142,Male,74.91238489,21,53,77,81,96,96,83,Pass
S418,Female,91.1291938,20,58,30,40,47,69,59,Pass
S080,Female,61.1924533,10,78,32,87,34,99,73,Pass
S208,Female,91.39704436,14,55,36,36,35,94,75,Pass
S222,Male,81.20507721,38,50,64,86,53,59,54,Pass
S307,Female,96.14801159,21,65,53,96,37,84,68,Pass
S029,Female,74.90825933,31,61,48,53,90,89,78,Pass
S279,Male,95.93752611,26,61,74,53,52,75,66,Pass
S479,Male,89.50067794,15,81,72,94,47,67,61,Pass
S340,Female,79.37268021,15,91,52,94,40,83,66,Pass
S177,Male,88.38897507,13,81,88,79,86,97,84,Pass
S424,Male,74.8732447,29,97,70,60,88,82,74,Pass
S092,Female,54.61452931,39,59,59,41,97,73,62,Pass
S400,Male,88.98793874,37,82,62,99,68,74,73,Pass
S097,Female,68.86429826,29,75,61,82,67,92,68,Pass
S368,Female,77.83607924,15,37,62,89,44,95,72,Pass
S289,Male,95.53430991,13,65,33,48,41,56,47,Fail
S093,Female,74.0572697,24,88,81,76,61,53,60,Pass
S399,Female,98.72736326,34,97,99,99,64,94,91,Pass
S241,Female,99.8846308,30,59,82,44,88,98,77,Pass
S076,Female,93.71588024,31,95,68,96,50,52,66,Pass
S207,Female,89.07572409,20,78,62,61,85,92,70,Pass
S468,Male,79.91430291,10,72,78,90,77,69,61,Pass
S312,Male,51.64233351,13,62,32,89,30,78,52,Pass
S148,Male,74.39049004,34,47,55,41,64,83,75,Pass
